text,label1,label2,label3,labeled_list
"Olá, pessoal, bom dia! Gostaria de saber se podemos consumir grão de bico.",desejo,nan,nan,['desejo']
"Boa noite. Gente, diabetes pode fazer reeducação? A low carb não consigo, ataca o meu fígado.",curiosidade,decepção,nan,"['curiosidade', 'decepção']"
"Boa noite, alguém conhece um chá para abaixar o pulso do batimento do coração?",nan,nan,nan,['neutro']
Alguém sabe quantas chávenas de chá de folha de mamão se deve tomar por dia?,curiosidade,nan,nan,['curiosidade']
"1 copo de leite desnatado batido com meia banana nanica de vez em quando, sem açúcar e sem adoçante, é válido para café da manhã? #Diabetesgestacional",desejo,nan,nan,['desejo']
"Me ajudem a entender: em jejum, 102, depois do almoço, 94, está boa?",confusão,nan,nan,['confusão']
"Por que minha glicemia só fica alta? Estou tentando controlar o nervosismo, mas está difícil, não abaixa de jeito nenhum. Já tomei insulina duas vezes, até agora nada.",decepção,nervosismo,nan,"['decepção', 'nervosismo']"
Comi mandioca e quase morri. Hoje comi abacate e banana com pão. Parecia que estava querendo me matar. Sinto muita dor no rim esquerdo. A minha urina está a sair o tempo inteiro.,remorso,nan,nan,['remorso']
"Minha hemoglobina glicada deu 8,20%, alguém pode me dizer se isso é perigoso?",nervosismo,nan,nan,['nervosismo']
"Bom dia, amigos. O diabético pode tomar suco detox?",desejo,nan,nan,['desejo']
Alguém sofre com refluxo? Será que é por causa da diabetes?,confusão,percepção,nan,"['confusão', 'percepção']"
Comi foi um macarrão na chapa com tudo que tenho direito agora.,alegria,nan,nan,['alegria']
"Boa tarde, meu povo. Alguém pode me dizer se diabético pode comer pão de queijo?",desejo,nan,nan,['desejo']
"Bom dia, boa quarta a todos. Ontem passei o dia tomando soro, pois estava com muita dor no quadril, a diabetes estava 580 por causa da dor. Hoje acordei com o pé inchando, só o direito. O que pode ser? Estou preocupada.",medo,nervosismo,nan,"['medo', 'nervosismo']"
Um diabético pode comer banana madura?,desejo,nan,nan,['desejo']
"Boa tarde, amigos. Estou com a perna esquerda formigando e o pé inchado, o que posso fazer?",nervosismo,nan,nan,['nervosismo']
O chá de insulina melhora o diabetes?,curiosidade,nan,nan,['curiosidade']
Diabético pode doar sangue?,curiosidade,nan,nan,['curiosidade']
O que comer pra diminuir a diabetes?,curiosidade,nan,nan,['curiosidade']
"Olá, boa noite a todos. Gostaria de saber se posso comer cará. Obrigada",desejo,nan,nan,['desejo']
"Esses chás são bons para controlar? Vou fazer o de camomila e vou tomar sem adoçante hoje, porque o meu acabou. Eu posso tomar com o quê? Pão eu sei que não pode, né.",curiosidade,nan,nan,['curiosidade']
"Eleve Suplemento. Alguém desse grupo conhece ou está fazendo uso dessa vitamina para visão que está sendo vendida pela internet? Quero comprar, mas tenho dúvidas.",curiosidade,nan,nan,['curiosidade']
Como identificar as dores nos membros periféricos e distinguir de artrite?,confusão,nan,nan,['confusão']
Bom dia. Eu sinto dores e latejar onde não tenho machucado nem ferida. Alguém de vocês sente isso? Será que a diabetes faz isso? Alguém sabe me responder?,nervosismo,nan,nan,['nervosismo']
"Amigos, no momento estou assim: diabetes acima de 400 e triglicerídeos acima de 1000. Meu corpo dói, sinto uma fraqueza enorme. Estou me cuidando. Espero que todos vocês, meus amigos, fiquem bem. Um abraço.",tristeza,zelo,nan,"['tristeza', 'zelo']"
"Tenho diabetes tipo 1, e minha pele está muito ressecada. Me indiquem o que vocês usam, por favor.",curiosidade,nan,nan,['curiosidade']
"Alguém sabe me informar se os temperos: chimi churry, pimenta calabresa, páprica picante e açafrão, podemos colocar nas comidas?",desejo,nan,nan,['desejo']
Boa noite. Diabetes tem cura? Quais são os tipos de diabetes?,curiosidade,nan,nan,['curiosidade']
"Meus amigos, a Metformina pode se juntar com que produto ou comprimido?",curiosidade,nan,nan,['curiosidade']
Macarrão integral pode? Ele sobe?,desejo,nan,nan,['desejo']
Podemos tomar Coca-Cola zero açúcar?,desejo,nan,nan,['desejo']
"Boa tarde! Meu pai foi diabético, minha mãe é diabética também. Minha mãe toma Metformina 850 mg e insulina, regular e NPH. Tomou Glibenclamida também, mas o médico tirou. Deixou só essas medicações. E vocês? Contem um pouco de vocês e que medicação usam. Obrigada 😘",curiosidade,zelo,nan,"['curiosidade', 'zelo']"
"Boa tarde, maçã faz mal?",curiosidade,desejo,nan,"['curiosidade', 'desejo']"
"Bom dia. Ando bem cansado, me indicaram tomar po de guaraná, o que vocês acham?",curiosidade,nan,nan,['curiosidade']
"O que se deve comer à noite, nós que temos diabetes?",curiosidade,nan,nan,['curiosidade']
"Pessoal, bom dia. O que é bom para ajudar na cicatrização de uma ferida no dedo do pé?",curiosidade,nan,nan,['curiosidade']
"Folha de amora é bom para diabetes, também é hormônio, casca do tronco, faz chá, tira dor na coluna.",aprovação,percepção,nan,"['aprovação', 'percepção']"
"Boa madrugada, vocês têm queda de cabelos? Ou tenho que procurar um médico? Pois tô ficando sem cabelo nenhum.",nervosismo,nan,nan,['nervosismo']
"A Metformina me resseca, será por quê?",confusão,decepção,nan,"['confusão', 'decepção']"
Os alimentos integrais são melhores pra diabéticos?,curiosidade,nan,nan,['curiosidade']
Tamarindo aumenta a diabetes?,curiosidade,desejo,nan,"['curiosidade', 'desejo']"
Alguém aqui no grupo toma Xigduo 5mg/1000mg pela manhã após o café? Tem algum efeito colateral?,curiosidade,nan,nan,['curiosidade']
"Bom dia. Ontem à noite, tomei mamão com banana batida no leite desnatado com farinha de aveia. Fui ver minha glicose hoje e estava 159. Será que pode ser isso?",confusão,remorso,nervosismo,"['confusão', 'remorso', 'nervosismo']"
O que vem a ser limpeza hepática? Diabético pode fazer?,curiosidade,nan,nan,['curiosidade']
Boa noite a todos. Poderiam me informar se é normal uma pessoa que tem diabetes ter coceira pelo corpo?,nervosismo,nan,nan,['nervosismo']
"Bom dia. O que vocês tomam para dor nas pernas e joelhos? As juntas estão todas inchadas, dói pra caramba, o que posso tomar pra melhorar?",aborrecimento,nervosismo,nan,"['aborrecimento', 'nervosismo']"
"Meus amigos, estou com muita coceira nas mãos, o que é isso? Não faz um mês que descobri que estou com diabetes.",nervosismo,nan,nan,['nervosismo']
Me tirem uma dúvida: farinha de trigo integral é boa? Ela aumenta a glicose?,curiosidade,nan,nan,['curiosidade']
"Bom dia, meus amores. Eu quero saber quais são os sintomas da diabetes. Por favor, preciso respostas urgentemente.",nervosismo,nan,nan,['nervosismo']
"Pessoal, como alguns aqui devem ter visto, ontem perguntei sobre tomar o remédio tarde da noite, que seria após a janta. E eu janto às 22 horas. Então, hoje comecei a jantar no trabalho e tomei meu remédio às 19 horas! Agora, às 23 horas, estou com a glicose 92 (após jantar arroz branco às 19 horas), então acho que está baixa. Meu medo é abaixar demais de madrugada! A tendência da glicose é diminuir ou aumentar à noite?",medo,curiosidade,nan,"['medo', 'curiosidade']"
"Boa tarde. Gostaria de saber se alguns de vocês têm o famoso olho de peixe. Isso é consequência de quem tem diabetes? O meu está assim, bem inflamado.",nervosismo,curiosidade,nan,"['nervosismo', 'curiosidade']"
"Olá, pessoal. Estou com sintomas de resfriado, garganta arranhada e coriza, há 3 dias. Tomei antigripais e já estou bem melhor 😊🙏 Não tive febre, nem dor no corpo, mas estou assustada por causa do coronavírus. Sou diabética tipo 2 faz uns 8 anos!",medo,alívio,nan,"['medo', 'alívio']"
"Bom dia. Medi minha diabetes em um aparelho, deu 92 e no outro, 115, em qual confiar? Isso foi agora de manhã, depois do café da manhã. Devo me preocupar? Acham que está muito alta?",nervosismo,confusão,nan,"['nervosismo', 'confusão']"
"Com a mudança de hábitos alimentares e a prática de exercícios físicos, é possível eliminar totalmente a gordura no fígado?",otimismo,curiosidade,nan,"['otimismo', 'curiosidade']"
"Oi gente, canela ajuda realmente a abaixar a glicose?",curiosidade,nan,nan,['curiosidade']
Alguém sabe algum chá pra baixar?,curiosidade,nan,nan,['curiosidade']
"Você sofre com ansiedade ou depressão e precisa de ajuda? Digite ""Eu"".",zelo,nan,nan,['zelo']
"Gente, uma pergunta. Diabético pode comer uma manga rosa? Então, eu já comi, estava ótima. Nunca mais tinha chupando uma manga, pense como é ótimo uma manga.",alegria,nervosismo,desejo,"['alegria', 'nervosismo', 'desejo']"
"Está para sair a minha perícia! Perdi a visão de um olho e a outra está comprometida. Tenho neuropatia, polineuropatia, retinopatia. É tanta tia, que só por Deus. 😢 Ore por mim.",tristeza,nan,nan,['tristeza']
"Boa noite, já fizeram cirurgia com a diabetes um pouco alta? Como foi a recuperação? Obrigada.",curiosidade,nervosismo,nan,"['curiosidade', 'nervosismo']"
Bom dia! Qual é o melhor adoçante pra usar?,curiosidade,nan,nan,['curiosidade']
"Meu almoço de hoje: brócolis com limão e azeite, frango com curry e alecrim, e ervilha com açafrão. Adoro. Bom apetite a todas.",alegria,orgulho,zelo,"['alegria', 'orgulho', 'zelo']"
"Boa noite, estou com neuropatia periférica. Já fui ao neurologista e ele me passou Gabapentina e algumas vitaminas, mas não resolveu o meu caso. Estou há sete meses esperando para fazer um exame e nada. Hoje estou sofrendo dia e noite com a doença, os pés incham e as pernas; de dia fica ardendo e à noite piora. Não tenho remédio pra colocar, nem alguma pomada, e nem mesmo o exame posso fazer, ainda estou na espera. Em suma, estou com os pés e pernas doloridas diariamente e sem poder fazer nada.",tristeza,decepção,aborrecimento,"['tristeza', 'decepção', 'aborrecimento']"
"Pontadas fortes, muito dolorosas, nas veias dos pés e sensação de pernas pesadas são sinais de neuropatia? Minha médica só repete para mim que isso é coisa da diabetes mesmo, ou seja, não há nada a fazer, mas é muito doloroso! Tenho 40 anos e sou diabética há 15 anos, insulinodependente e no geral tenho bom controle.",decepção,aborrecimento,nan,"['decepção', 'aborrecimento']"
"Uma pergunta: é o carboidrato que ""carrega"" a insulina para as células?",curiosidade,nan,nan,['curiosidade']
"Bom dia, alguém aqui ficou com problemas sexuais por conta da diabetes?",curiosidade,nan,nan,['curiosidade']
Boa noite a todos. Como faço para pegar no SUS as fitas de verificação da glicose? As fitas são mais caras que o aparelho?,curiosidade,nan,nan,['curiosidade']
Eu gostaria de saber se o uso da insulina engorda.,curiosidade,nan,nan,['curiosidade']
Podemos comer pipoca?,curiosidade,nan,nan,['curiosidade']
"Parabéns! Tenho diabetes tipo 2 e faço atividade física e, felizmente, está controlada.",admiração,aprovação,nan,"['admiração', 'aprovação']"
"Bom dia, galera. Estou tomando leite com aveia, linhaça e pasta de amendoim batidos no liquidificador. Está correto para diabetes?",curiosidade,nan,nan,['curiosidade']
"Queria saber se pode comer coisas diet. Exemplos: doces, geleias, etc.",curiosidade,nan,nan,['curiosidade']
"Boa tarde, tem alguma gestante aqui no grupo?",curiosidade,nan,nan,['curiosidade']
"Gostaria de saber se, em pacientes com polineuropatia periférica e neuropatia autonômica, ocorreria uma intensificação do processo inflamatório com maior comprometimento da doença arterial.",curiosidade,nan,nan,['curiosidade']
"Meu único problema é a arritmia, pois sinto um aceleramento forte do coração e me sinto incomodada.",aborrecimento,nan,nan,['aborrecimento']
As farinhas de coco e de amêndoas têm carboidrato?,curiosidade,nan,nan,['curiosidade']
Para que serve o Metformina?,curiosidade,nan,nan,['curiosidade']
"Hoje estou sentido muitas dores no calcanhar e no joelho, será que é da diabetes?",confusão,curiosidade,nan,"['confusão', 'curiosidade']"
"Café sem açúcar abaixa o diabetes? Pois a minha, que sempre foi alta, abaixou até demais!",curiosidade,nervosismo,nan,"['curiosidade', 'nervosismo']"
Arroz integral pode?,curiosidade,nan,nan,['curiosidade']
"Qual que faz abaixar a glicose? Está na média durante o dia 350 e 580 à noite. É a insulina NPH ou a regular? Por favor, não respondam ""procure o médico"", estamos com dificuldade com isso, pois tive alta na última quinta-feira de coronavírus. Não estou sabendo lidar, tendo em vista que minha mãe tem também insuficiência renal, que não pode tomar nem comer qualquer coisa que seria indicado à diabetes. Então, repetindo a minha dúvida: qual insulina abaixa glicose, a NPH ou regular? Obrigado.",aborrecimento,curiosidade,nan,"['aborrecimento', 'curiosidade']"
Alguém do grupo sabe o que é remissão de diabetes?,curiosidade,nan,nan,['curiosidade']
"Gente, podemos comer banana verde frita?",curiosidade,nan,nan,['curiosidade']
Alguém pode me dizer o nome de uma pomada para coceira na perna que virou ferida?,curiosidade,nan,nan,['curiosidade']
A falta de sensibilidade térmica e choques constantes são uma evolução da neuropatia? E o problema de túnel do carpo em diabéticos é também uma neuropatia em função do diabetes?,curiosidade,nan,nan,['curiosidade']
Estou com 32 semanas de gravidez. Tomo insulina e faço dieta. Minha diabetes 2 horas após a alimentação está 120. Será que está boa?,curiosidade,nan,nan,['curiosidade']
"Bom dia. Me digam a verdade: tem muita gente postando o resultado da glicemia em jejum entre 88 a 106, vocês conseguem manter assim até o outro dia?",curiosidade,nan,nan,['curiosidade']
Qual é o melhor aparelho para medir diabetes que não seja muito caro?,curiosidade,nan,nan,['curiosidade']
"Grupo, boa tarde. O que faço? Não estou conseguindo abaixar minha glicose.",curiosidade,nan,nan,['curiosidade']
"Boa noite, gente. Já tem uns 5 dias que minha pressão está ocilando muito, estou preocupada com isso. Hoje 11h da manhã deu 6×4, suor frio, tontura terrível. Tomei uma pitada de sal e água. Foi que melhorei, agora a pouco aferi, deu 9×5. Será que é por conta da diabetes?",confusão,curiosidade,nan,"['confusão', 'curiosidade']"
"O que garante sua saúde é uma rotina de alimentação saudável. Quando sair da rotina, somente volte.",otimismo,nan,nan,['otimismo']
"Pessoal, vale a pena usar libre? As medidas dão parecidas com as do aparelho? Diminui realmente as furadas e pode ser usado sozinho, só com o leitor?",curiosidade,nan,nan,['curiosidade']
"Uma dúvida: essa doença que doem os pés e braços, a neuropatia, ela afeta outros órgãos também? Se sim, quais?",curiosidade,nan,nan,['curiosidade']
"Minha glicose deu 221 antes da janta, agora 76 depois da janta. Está bom?",curiosidade,nan,nan,['curiosidade']
É verdade que o diabetes é hereditário? Ou adquirimos com o passar do tempo?,curiosidade,nan,nan,['curiosidade']
Que creme vocês usam nos pés diabéticos?,curiosidade,nan,nan,['curiosidade']
Alguém sente muita dor de cabeça e enjoo tomando Glifage? Não aguento mais.,curiosidade,aborrecimento,nan,"['curiosidade', 'aborrecimento']"
Quem tem diabetes pode comer laranja?,curiosidade,nan,nan,['curiosidade']
Pode comer fruta? Abacate batido com limão e adoçante?,curiosidade,nan,nan,['curiosidade']
"Boa noite, pessoal. Estou com muitas dores lombares e nas coxas. Isso é por causa da diabetes?",curiosidade,nan,nan,['curiosidade']
"Alguém sabe por que a pessoa diabética fica fraca, caindo para trás, se a glicose está 178?",curiosidade,nan,nan,['curiosidade']
Óleo de coco pode usar?,curiosidade,nan,nan,['curiosidade']
"Me ajudem, azeite de coco babaçu é bom para diabetes?",curiosidade,nan,nan,['curiosidade']
"Boa noite a todos. Fui ao meu médico, ele mudou minha medicação pra essa, aumentou a dose da NPH e da regular. Já começou a melhorar minha glicose, mas ainda está alto. Parei de caminhar porque tem muito caso de coronavírus aqui. Fosfato de Sitagliptina.",aborrecimento,nan,nan,['aborrecimento']
"Qual é o melhor horário para tomar Metformina? Estou iniciando o tratamento e estou sentindo muitas náuseas e desconforto abdominal, é normal?",confusão,curiosidade,nan,"['confusão', 'curiosidade']"
É permitido comer todo tipo de peixe?,curiosidade,nan,nan,['curiosidade']
"Bom dia. Hoje comi uma colher de doce de leite de manhã e fui arrumar a casa. Suei muito, por que será?",curiosidade,nan,nan,['curiosidade']
"Sobrou um pouquinho de arroz de couve-flor, então bati 3 ovos com um pouco de queijo ralado, sal e 1 colher de sobremesa de manteiga, misturei e coloquei por cima da couve-flor. Levei ao forno médio por uns 20 minutos e fiz também frango à passarinho na Air Fryer.",orgulho,nan,nan,['orgulho']
Quais são os sintomas da gordura no fígado?,curiosidade,nan,nan,['curiosidade']
"Pergunta aos especialistas em diabetes tipo 1: como tratar proteinúria? E ouço falar muito em medicamentos protetores para os rins, o que seriam esses medicamentos? Qualquer pessoa com DM1 pode usar? Obrigada.",curiosidade,nan,nan,['curiosidade']
"Tenho neuropatia diabética, queima o pé e o corpo igual febre.",aborrecimento,nan,nan,['aborrecimento']
"Boa noite, grupo. Gostaria de saber se alguém que toma o remédio para diabetes Cloridrato de Metformina 750 mg sente a boca doce. Parece que, quando como, tudo está doce, não sinto muito o sal, acabo comendo mais sal que deveria. Estou ficando com problemas de saúde, apareceu a tal de gota. Não sou de consumir bebidas alcoólicas. Agradeço atenção de todos.",curiosidade,decepção,nan,"['curiosidade', 'decepção']"
"Bom dia, grupo. Me digam o que vocês acham de consumir linhaça.",curiosidade,nan,nan,['curiosidade']
Pode tomar Centrum?,curiosidade,nan,nan,['curiosidade']
"Quando glicose está normal, precisa tomar os remédios?",curiosidade,nan,nan,['curiosidade']
Bom dia. A glicose 120 está alta? Não tomo açúcar nenhum.,curiosidade,nan,nan,['curiosidade']
"Boa tarde, é verdade que, se passar muito tempo sem se alimentar, a glicose sobe?",curiosidade,nan,nan,['curiosidade']
Alguém que toma maca peruana para dores sabe me dizer se é bom?,curiosidade,nan,nan,['curiosidade']
É possível alguém que toma insulina lenta mudar para mix?,curiosidade,nan,nan,['curiosidade']
"Boa noite, pessoal. Me tirem uma dúvida, quem é diabético pode comer buchada de bode?",curiosidade,nan,nan,['curiosidade']
"Boa noite. Não bati o antebraço direito, mas, só de passar a mão, está dolorido. O que pode ser? Me ajudem. Obrigada.",confusão,curiosidade,nan,"['confusão', 'curiosidade']"
"Gente, eu tenho uma duvida sobre o aparelho que mede a glicemia: ele é confiável ou o bom é fazer aquele exame em jejum no laboratório? Obrigada.",curiosidade,nan,nan,['curiosidade']
"Boa noite, grupo. Será que tem algum iogurte que nós podemos tomar?",curiosidade,nan,nan,['curiosidade']
Boa tarde! Quem tem diabetes pode fazer dieta cetogênica?,curiosidade,nan,nan,['curiosidade']
Glicose 2 horas após o almoço: 79.,aprovação,nan,nan,['aprovação']
"Boa noite. Sou diabética tipo 2 e estou ficando com os dentinhos moles. Tenho 70 anos, o dentista recomendou extração de todos os dentes inferiores, está correto?",curiosidade,nervosismo,nan,"['curiosidade', 'nervosismo']"
Basal - Qual é o valor ideal equivalente ao peso de Basal para a pessoa com DM1?,curiosidade,nan,nan,['curiosidade']
"Alguém pode me indicar um remédio para coceira? Estava no corpo inteiro, mas tomei injeção e comprimidos antialérgicos e deu uma melhorada. Mas agora continua nos braços e no pescoço, e coça muito. Será que a minha diabetes está alta ou é problema nos rins?",confusão,curiosidade,nan,"['confusão', 'curiosidade']"
Tenho muita dificuldade para ir ao banheiro. A neuropatia pode afetar o intestino? Pois tenho neuropatia.,confusão,curiosidade,nan,"['confusão', 'curiosidade']"
"Olá, gente, bom dia. Descobri meu diabetes há 1 mês, mas, segundo o médico, sou diabética há 3 meses. Minha glicemia deu 150 em jejum. Às vezes, fico com suor excessivo nas costas e rosto, será que pode ser da diabetes? Alguém mais tem isso? Observação: tenho hipotireoidismo também.",confusão,curiosidade,nan,"['confusão', 'curiosidade']"
"Quando uma pessoa diabética emagrece rápido, o que fazer?",curiosidade,nan,nan,['curiosidade']
"Oi, pessoal. Hoje passei muito muito mal, mas estou melhor à noite. Só que tomei 20 unidades de insulina por volta de 8 da noite e medi quase agora e não abaixou, aumentou de 189 pra 191. Agora tomei mais 10 de insulina. Uma médica tinha passado para tratamento a Metformina com insulina, mas eu estou sem comer faz um tempo, será que posso comer metade dessa barrinha e tomar a Metformina? Porque não pode tomar de estômago vazio. Estou morrendo de fome, eu nem sei o que comer às vezes. Eu estou perdida, vocês tem ideia de lanche saudável para a noite?",confusão,curiosidade,aborrecimento,"['confusão', 'curiosidade', 'aborrecimento']"
"Boa tarde a todos. Será que glicemia, medindo em casa, terá os mesmos valores de quando realizamos em laboratório?",curiosidade,nan,nan,['curiosidade']
Quem tem diabetes e precisa fazer uma cirurgia corre o risco de ter hemorragia ou parada cardíaca?,curiosidade,nan,nan,['curiosidade']
"Olá, boa tarde. Minha sobrinha foi diagnosticada com diabetes tipo 1, ela tem só 7 anos. Eu queria fazer duas perguntas: uma é que, às vezes, no marcador de glicose aparece a letra E-2, não sei o que significa. E a outra pergunta é se coisas diet são permitidas, porque cada médico fala uma coisa. Ainda me assim com os picos de glicose de 200 a 460.",confusão,curiosidade,nan,"['confusão', 'curiosidade']"
"Boa tarde! Hoje, depois de quase um mês, comi uma fatia de pão integral com aquela margarina Qualy Vita e café com leite. Não tomo remédio pelo manhã. Fiz alguns exercícios aqui em casa mesmo e agora, antes de almoçar, medi e estava 101! Tomo Metformina 850 mg depois do almoço e jantar. Mas terça passei em outro endocrinologista porque não gostei do primeiro e ele receitou Glifage 500  mg depois do café, almoço e jantar, e metade de um outro depois do café e jantar! Se a glicemia está esse valor sem remédios, será que não vai baixar demais se eu tomar todos esses que ele passou?",curiosidade,confusão,nan,"['curiosidade', 'confusão']"
Qual a diferença da Metformina (genérico) e o Glifage XR?,curiosidade,nan,nan,['curiosidade']
Há quantos anos tens esta doença e como controlas?,curiosidade,nan,nan,['curiosidade']
Mulheres que fazem uso de insulina: sentiram alguma alteração de odor na urina?,curiosidade,nan,nan,['curiosidade']
Por que um simples machucado forma uma vermelhidão no seu entorno e demora para sarar?,curiosidade,nan,nan,['curiosidade']
A diabetes faz reduzir a produção de leite no peito?,curiosidade,nan,nan,['curiosidade']
Estou sentindo a boca frequentemente amarga. O que posso fazer para melhorar?,curiosidade,nan,nan,['curiosidade']
"Boa noite. Tenho diabetes tipo 1 há muitos anos. Me exercito todos os dias, mas não consigo perder peso.",decepção,aborrecimento,nan,"['decepção', 'aborrecimento']"
"Oi, boa tarde. Com quantas semanas o médico induz o parto em paciente com DG controlada só com dieta?",curiosidade,nan,nan,['curiosidade']
"O que devo fazer pra controlar a glicemia? Mesmo tomando remédio, ela é descontrolada.",curiosidade,decepção,nan,"['curiosidade', 'decepção']"
O que é hemoglobina glicada?,curiosidade,nan,nan,['curiosidade']
Boa noite grupo! Quem já fez o tratamento para retinopatia com laser como foi?,curiosidade,nan,nan,['curiosidade']
É verdade que a sinvastatina afeta a diabetes?,curiosidade,nan,nan,['curiosidade']
Pipoca de microondas pode?,curiosidade,nan,nan,['curiosidade']
"Pessoal, sou pré-diabético e estou trocando minha alimentação para zero açúcar, mas gostaria de saber se alguém tem alguma dica para ter menos dificuldade de zerar o açúcar na sua alimentação. Digo isso porque, para mim, é muito difícil ficar sem algo doce no dia a dia.",curiosidade,decepção,nan,"['curiosidade', 'decepção']"
Alguém do grupo sabe de casos de diabéticos em que aparecem manchas escuras nas axilas?,curiosidade,nan,nan,['curiosidade']
"Por favor, poderia explicar melhor? Sou DM1 usuário de insulina e faço uso do Jardiance. Continuo?",confusão,curiosidade,nan,"['confusão', 'curiosidade']"
Boa tarde. Qual cerveja posso consumir e qual a quantidade? Obrigado!,curiosidade,nan,nan,['curiosidade']
"Por favor, faça uma live sobre quando o diabético começa apresentar resistência à insulina. Meu irmão sente isso às vezes e eu o vejo trocar o local de aplicação. Para de aplicar na barriga e passa para a perna. Pode explicar isso melhor? É por causa da camada de gordura abdominal?",confusão,curiosidade,nan,"['confusão', 'curiosidade']"
"Parei de comer manga, banana e laranja, que eram as frutas que gostava. Estou chupando mexerica mas estou em dúvida se pode. Pode?",curiosidade,nan,nan,['curiosidade']
"Meus amigos, boa noite. Sou diabética tipo 2 e eu já não estou conseguindo respirar de tanta dor. Começa dos pés, um formigamento e dormência, e sai irradiando pelo corpo todo. Alguém de vocês tem esse problema? Se deito, dói mais; se sento, é pior; se ando, é pior ainda. Já não sei mais o que fazer com tantas dores pelo corpo todo.",nervosismo,aborrecimento,nan,"['nervosismo', 'aborrecimento']"
Alguém sabe como comer a batata yacom para diabetes e como usar?,curiosidade,nan,nan,['curiosidade']
"Gente, estou preocupada. Esses exames estão bons? Me passaram sinvastatina! 😥 Detalhe: sou obesa e tenho hipertensão!",nervosismo,nan,nan,['nervosismo']
"Boa noite, meninas do grupo. O chá SB é bom? E é bom pra quê?",curiosidade,nan,nan,['curiosidade']
